"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
1.536574480E-1,-∞
2.571779160E-1,-∞
4.611194270E-1,-1.384395447E1
6.593013540E-1,-1.647855990E1
8.583647390E-1,-1.329880852E1
1.059266249E0,-1.763260510E1
1.257071614E0,5.889561369E1
1.456914947E0,6.218320780E1
1.656694166E0,6.067215509E1
1.856054582E0,6.239020454E1
2.055396770E0,6.258251768E1
2.255865728E0,5.893597878E1
2.456343384E0,5.890752995E1
2.522251145E0,5.890752995E1
